"Location","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
119,"BB_051","BB_143","2022-BB-143-G1-119-1",1,1,0,0,0
119,"BB_142","BB_086","2022-BB-086-G1-119-5",1,1,0,0,0
119,"BB_108","BB_189","2022-BB-189-G1-119-4",2,1,0,0,0
121,"BB_177","BB_134","2022-BB-134-G1-121-8",5,1,1,1,7
121,"BB_028","BB_109","2022-BB-109-G1-121-7",7,1,2,2,1
121,"BB_107","BB_123","2022-BB-123-G1-121-2",7,1,2,1,8
121,"BB_196","BB_088","2022-BB-088-G1-121-1",7,1,5,3,7
122,"BB_014","BB_152","2022-BB-152-G1-122-2",4,1,0,0,0
122,"BB_130","BB_120","2022-BB-120-G1-122-1",6,1,1,1,1
122,"BB_182","BB_021","2022-BB-021-G1-122-5",7,1,1,0,0
123,"BB_202","BB_018","2022-BB-018-G1-123-5",5,1,1,1,4
123,"BB_174","BB_010","2022-BB-010-G1-123-3",3,1,0,0,0
123,"BB_141","BB_003","2022-BB-003-G1-123-6",4,1,0,0,0
124,"BB_047","BB_193","2022-BB-193-G1-124-8",4,1,2,0,0
124,"BB_038","BB_042","2022-BB-042-G1-124-4",8,1,0,0,0
124,"BB_005","BB_195","2022-BB-195-G1-124-4",8,1,0,0,0
124,"BB_001","BB_074","2022-BB-074-G1-124-6",7,1,0,0,0
125,"BB_176","BB_049","2022-BB-049-G1-125-2",5,1,1,1,3
125,"BB_047","BB_131","2022-BB-131-G1-125-7",3,1,0,0,0
125,"BB_173","BB_044","2022-BB-044-G1-125-2",5,1,0,0,0
126,"BB_177","BB_117","2022-BB-117-G1-126-1",4,1,0,0,0
126,"BB_188","BB_205_B","2022-BB-205_B-G1-126-1",0,0,0,0,0
126,"BB_175","BB_172","2022-BB-172-G1-126-3",6,1,1,1,4
126,"BB_065","BB_013","2022-BB-013-G1-126-6",3,1,1,1,0
127,"BB_023","BB_206","2022-BB-206-G1-127-5",3,1,0,0,0
127,"BB_162","BB_080","2022-BB-080-G1-127-8",7,1,4,2,0
127,"BB_197","BB_060","2022-BB-060-G1-127-8",5,1,1,1,2
128,"BB_026","BB_153","2022-BB-153-G1-128-1",7,1,1,1,7
128,"BB_217","BB_016","2022-BB-016-G1-128-7",3,1,0,0,0
128,"BB_055","BB_183","2022-BB-183-G1-128-2",7,1,0,0,0
129,"BB_168","BB_058","2022-BB-058-G1-129-1",5,1,1,1,1
129,"BB_196","BB_089","2022-BB-089-G1-129-8",5,1,4,4,24
129,"BB_125","BB_137","2022-BB-137-G1-129-2",4,1,0,0,0
131,"BB_197","BB_199","2022-BB-199-G1-131-5",7,1,0,0,0
131,"BB_066","BB_019","2022-BB-019-G1-131-4",5,1,0,0,0
131,"BB_173","BB_170","2022-BB-170-G1-131-7",8,1,0,0,0
131,"BB_073","BB_084","2022-BB-084-G1-131-7",3,1,0,0,0
132,"BB_075","BB_079","2022-BB-079-G1-132-6",1,1,0,0,0
132,"BB_057","BB_121","2022-BB-121-G1-132-6",3,1,0,0,0
132,"BB_015","BB_063","2022-BB-063-G1-132-2",5,1,0,0,0
133,"BB_100","BB_135","2022-BB-135-G1-133-8",7,1,1,1,6
133,"BB_026","BB_053","2022-BB-053-G1-133-4",7,1,0,0,0
133,"BB_065","BB_133","2022-BB-133-G1-133-3",6,1,2,1,10
134,"BB_057","BB_146","2022-BB-146-G1-134-1",5,1,0,0,0
134,"BB_213","BB_132","2022-BB-132-G1-134-8",8,1,0,0,0
134,"BB_075","BB_085","2022-BB-085-G1-134-4",6,1,0,0,0
135,"BB_122","BB_208","2022-BB-208-G1-135-2",0,0,0,0,0
135,"BB_198","BB_045","2022-BB-045-G1-135-6",1,1,1,1,0
135,"BB_066","BB_052","2022-BB-052-G1-135-3",6,1,0,0,0
136,"BB_215","BB_210","2022-BB-210-G1-136-7",2,1,1,1,4
136,"BB_130","BB_048","2022-BB-048-G1-136-2",1,1,1,1,0
136,"BB_099","BB_061","2022-BB-061-G1-136-8",3,1,0,0,0
137,"BB_100","BB_031","2022-BB-031-G1-137-1",4,1,1,1,0
137,"BB_177","BB_140","2022-BB-140-G1-137-7",4,1,0,0,0
137,"BB_142","BB_150","2022-BB-150-G1-137-7",5,1,1,1,0
138,"BB_014","BB_185","2022-BB-185-G1-138-4",0,0,0,0,0
138,"BB_169","BB_076","2022-BB-076-G1-138-5",2,1,2,2,3
138,"BB_169","BB_160","2022-BB-160-G1-138-4",7,1,0,0,0
139,"BB_168","BB_046","2022-BB-046-G1-139-2",3,1,2,2,4
139,"BB_057","BB_200","2022-BB-200-G1-139-7",4,1,2,2,6
139,"BB_100","BB_113","2022-BB-113-G1-139-6",0,0,0,0,0
141,"BB_075","BB_164","2022-BB-164-G1-141-1",8,1,2,1,0
141,"BB_141","BB_037","2022-BB-037-G1-141-8",5,1,2,2,0
141,"BB_065","BB_192","2022-BB-192-G1-141-1",2,1,2,2,2
141,"BB_194","BB_163","2022-BB-163-G1-141-5",5,1,3,2,1
142,"BB_175","BB_104","2022-BB-104-G1-142-1",6,1,5,5,14
142,"BB_162","BB_154","2022-BB-154-G1-142-5",5,1,3,1,2
142,"BB_217","BB_054","2022-BB-054-G1-142-4",5,1,8,7,10
143,"BB_167","BB_110","2022-BB-110-G1-143-6",4,1,0,0,0
143,"BB_091","BB_094","2022-BB-094-G1-143-4",2,1,0,0,0
143,"BB_176","BB_017","2022-BB-017-G1-143-2",6,1,0,0,0
144,"BB_168","BB_081","2022-BB-081-G1-144-2",6,1,0,0,0
144,"BB_051","BB_105","2022-BB-105-G1-144-8",6,1,2,2,7
144,"BB_055","BB_119","2022-BB-119-G1-144-3",4,1,0,0,0
144,"BB_026","BB_070","2022-BB-070-G1-144-7",7,1,3,2,6
145,"BB_175","BB_050","2022-BB-050-G1-145-4",0,0,0,0,0
145,"BB_028","BB_209","2022-BB-209-G1-145-8",1,1,0,0,0
145,"BB_038","BB_216","2022-BB-216-G1-145-6",7,1,0,0,0
145,"BB_028","BB_083","2022-BB-083-G1-145-4",2,1,2,0,0
146,"BB_171","BB_039","2022-BB-039-G1-146-6",5,1,1,1,6
146,"BB_011","BB_116","2022-BB-116-G1-146-4",7,1,0,0,0
146,"BB_014","BB_102","2022-BB-102-G1-146-7",5,1,0,0,0
146,"BB_144","BB_158","2022-BB-158-G1-146-8",2,1,0,0,0
147,"BB_115","BB_187","2022-BB-187-G1-147-7",1,1,0,0,0
147,"BB_202","BB_025","2022-BB-025-G1-147-4",2,1,0,0,0
147,"BB_015","BB_111","2022-BB-111-G1-147-5",2,1,2,2,7
148,"BB_162","BB_040","2022-BB-040-G1-148-8",0,0,0,0,0
148,"BB_188","BB_171","2022-BB-171-G1-148-6",2,1,0,0,0
148,"BB_141","BB_029","2022-BB-029-G1-148-8",3,1,2,1,2
149,"BB_091","BB_139","2022-BB-139-G1-149-7",6,1,0,0,0
149,"BB_142","BB_093","2022-BB-093-G1-149-1",0,0,0,0,0
149,"BB_198","BB_138","2022-BB-138-G1-149-5",7,1,5,5,16
149,"BB_011","BB_056","2022-BB-056-G1-149-8",5,1,2,2,5
151,"BB_125","BB_051","2022-BB-051-G1-151-3",2,1,1,1,0
151,"BB_167","BB_008","2022-BB-008-G1-151-7",5,1,1,1,0
151,"BB_215","BB_004","2022-BB-004-G1-151-2",0,0,0,0,0
151,"BB_197","BB_211","2022-BB-211-G1-151-2",5,1,0,0,0
152,"BB_167","BB_114","2022-BB-114-G1-152-8",4,1,0,0,0
152,"BB_130","BB_007","2022-BB-007-G1-152-1",3,1,0,0,0
152,"BB_001","BB_043","2022-BB-043-G1-152-5",4,1,1,0,0
153,"BB_215","BB_148","2022-BB-148-G1-153-8",6,1,1,1,0
153,"BB_055","BB_145","2022-BB-145-G1-153-1",7,1,5,3,9
153,"BB_107","BB_179","2022-BB-179-G1-153-7",7,1,1,1,0
154,"BB_005","BB_166","2022-BB-166-G1-154-8",3,1,2,2,8
154,"BB_217","BB_205_A","2022-BB-205_A-G1-154-5",6,1,0,0,0
154,"BB_173","BB_095","2022-BB-095-G1-154-2",6,1,0,0,0
155,"BB_176","BB_059","2022-BB-059-G1-155-6",4,1,0,0,0
155,"BB_171","BB_157","2022-BB-157-G1-155-7",3,1,2,2,11
155,"BB_213","BB_147","2022-BB-147-G1-155-2",8,1,1,0,0
156,"BB_188","BB_009","2022-BB-009-G1-156-7",6,1,7,4,13
30,"BB_014","BB_185","2022-BB-185-G1-030-8",3,1,0,0,0
30,"BB_099","BB_032","2022-BB-032-G1-030-5",4,1,0,0,0
30,"BB_176","BB_017","2022-BB-017-G1-030-2",1,1,0,0,0
40,"BB_115","BB_077","2022-BB-077-G1-040-4",1,1,0,0,0
40,"BB_115","BB_187","2022-BB-187-G1-040-6",4,1,0,0,0
40,"BB_051","BB_118","2022-BB-118-G1-040-5",3,1,0,0,0
50,"BB_099","BB_161","2022-BB-161-G1-050-2",0,0,0,0,0
50,"BB_176","BB_049","2022-BB-049-G1-050-2",6,1,0,0,0
50,"BB_051","BB_143","2022-BB-143-G1-050-7",4,1,0,0,0
60,"BB_075","BB_085","2022-BB-085-G1-060-3",1,1,0,0,0
60,"BB_014","BB_152","2022-BB-152-G1-060-3",2,1,0,0,0
60,"BB_125","BB_051","2022-BB-051-G1-060-3",1,1,0,0,0
70,"BB_115","BB_020","2022-BB-020-G1-070-7",2,1,0,0,0
70,"BB_099","BB_061","2022-BB-061-G1-070-7",1,1,0,0,0
70,"BB_051","BB_105","2022-BB-105-G1-070-3",0,0,0,0,0
80.5,"BB_014","BB_102","2022-BB-102-G1-80.5-7",4,1,0,0,0
80.5,"BB_125","BB_137","2022-BB-137-G1-80.5-2",2,1,0,0,0
80.5,"BB_176","BB_059","2022-BB-059-G1-80.5-2",1,1,2,2,3
90,"BB_075","BB_079","2022-BB-079-G1-090-8",1,1,0,0,0
90,"BB_075","BB_164","2022-BB-164-G1-090-8",2,1,0,0,0
90,"BB_125","BB_024","2022-BB-024-G1-090-1",1,1,0,0,0
100,"BB_075","BB_085","2022-BB-085-G1-100-7",3,1,0,0,0
100,"BB_099","BB_032","2022-BB-032-G1-100-3",0,0,0,0,0
100,"BB_099","BB_161","2022-BB-161-G1-100-6",0,0,0,0,0
110,"BB_115","BB_077","2022-BB-077-G1-110-5",3,1,0,0,0
110,"BB_115","BB_187","2022-BB-187-G1-110-2",2,1,0,0,0
110,"BB_099","BB_061","2022-BB-061-G1-110-1",2,1,0,0,0
120,"BB_125","BB_024","2022-BB-024-G1-120-5",7,1,42,22,119
120,"BB_125","BB_137","2022-BB-137-G1-120-6",3,1,1,1,1
120,"BB_176","BB_017","2022-BB-017-G1-120-5",7,1,0,0,0
130,"BB_014","BB_185","2022-BB-185-G1-130-7",6,1,5,4,4
130,"BB_051","BB_105","2022-BB-105-G1-130-5",3,1,1,1,1
130,"BB_051","BB_118","2022-BB-118-G1-130-3",7,1,0,0,0
140,"BB_075","BB_164","2022-BB-164-G1-140-6",0,0,0,0,0
140,"BB_176","BB_049","2022-BB-049-G1-140-5",3,1,0,0,0
140,"BB_051","BB_143","2022-BB-143-G1-140-2",1,1,0,0,0
150,"BB_075","BB_079","2022-BB-079-G1-150-6",4,1,2,2,4
150,"BB_125","BB_051","2022-BB-051-G1-150-5",3,1,0,0,0
150,"BB_176","BB_059","2022-BB-059-G1-150-2",4,1,0,0,0
160,"BB_014","BB_102","2022-BB-102-G1-160-5",5,1,0,0,0
160,"BB_014","BB_152","2022-BB-152-G1-160-8",7,1,0,0,0
160,"BB_115","BB_020","2022-BB-020-G1-160-3",8,1,1,1,0
