"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
9,"HR_156","HR_193","2022-HR-193-G1-009-1",8,1,43,40,137
9,"HR_108","HR_016","2022-HR-016-G1-009-2",8,1,7,7,10
9,"HR_064","HR_190","2022-HR-190-G1-009-7",7,1,10,8,18
9,"HR_135","HR_004","2022-HR-004-G1-009-4",6,1,8,6,13
9,"HR_131","HR_113","2022-HR-113-G1-009-4",8,1,14,12,26
9,"HR_155","HR_009","2022-HR-009-G1-009-7",8,1,12,7,16
9,"HR_090","HR_103","2022-HR-103-G1-009-1",8,1,11,7,5
9,"HR_171","HR_073","2022-HR-073-G1-009-4",8,1,15,11,12
9,"HR_005","HR_149","2022-HR-149-G1-009-7",8,1,9,8,1
9,"HR_147","HR_021","2022-HR-021-G1-009-8",8,1,8,7,11
9,"HR_125","HR_086","2022-HR-086-G1-009-3",8,1,6,5,12
9,"HR_121","HR_105","2022-HR-105-G1-009-5",8,1,9,9,43
9,"HR_069","HR_108","2022-HR-108-G1-009-1",7,1,28,28,10
9,"HR_157","HR_085","2022-HR-085-G1-009-8",8,1,31,24,38
9,"HR_156","HR_197","2022-HR-197-G1-009-4",8,1,4,4,5
9,"HR_006","HR_146","2022-HR-146-G1-009-5",7,1,16,14,1
9,"HR_157","HR_095","2022-HR-095-G1-009-3",8,1,11,10,25
9,"HR_090","HR_053","2022-HR-053-G1-009-4",8,1,24,24,28
9,"HR_175","HR_196","2022-HR-196-G1-009-6",8,1,17,17,29
9,"HR_168","HR_101","2022-HR-101-G1-009-6",8,1,2,2,6
9,"HR_175","HR_027","2022-HR-027-G1-009-3",8,1,4,2,7
9,"HR_100","HR_135","2022-HR-135-G1-009-2",6,1,9,9,7
9,"HR_066","HR_087","2022-HR-087-G1-009-4",8,1,37,35,39
9,"HR_059","HR_011","2022-HR-011-G1-009-8",8,1,36,35,72
9,"HR_148","HR_050","2022-HR-050-G1-009-7",4,1,15,15,21
9,"HR_155","HR_047","2022-HR-047-G1-009-7",8,1,17,16,32
9,"HR_027","HR_043","2022-HR-043-G1-009-4",7,1,15,14,20
9,"HR_070","HR_123","2022-HR-123-G1-009-8",8,1,25,21,23
9,"HR_141","HR_044","2022-HR-044-G1-009-6",7,1,4,4,9
9,"HR_085","HR_035","2022-HR-035-G1-009-3",8,1,11,8,16
9,"HR_147","HR_118","2022-HR-118-G1-009-1",8,1,20,15,17
9,"HR_090","HR_126","2022-HR-126-G1-009-8",8,1,0,0,0
9,"HR_196","HR_170","2022-HR-170-G1-009-7",7,1,31,27,55
9,"HR_034","HR_080","2022-HR-080-G1-009-4",6,1,18,18,17
9,"HR_053","HR_038","2022-HR-038-G1-009-7",8,1,54,28,34
9,"HR_074","HR_066","2022-HR-066-G1-009-5",6,1,17,13,46
9,"HR_139","HR_062","2022-HR-062-G1-009-5",8,1,0,0,0
9,"HR_139","HR_129","2022-HR-129-G1-009-1",8,1,14,11,12
9,"HR_110","HR_039","2022-HR-039-G1-009-2",8,1,24,21,50
9,"HR_110","HR_037","2022-HR-037-G1-009-6",8,1,12,11,33
9,"HR_085","HR_107","2022-HR-107-G1-009-1",8,1,3,2,1
9,"HR_200","HR_159","2022-HR-159-G1-009-5",7,1,14,9,7
9,"HR_100","HR_195","2022-HR-195-G1-009-7",6,1,15,9,18
9,"HR_180","HR_036","2022-HR-036-G1-009-8",8,1,0,0,0
9,"HR_149","HR_174","2022-HR-174-G1-009-6",8,1,26,17,25
