"Transect","Donor","Recipient","sample_ID","surv_to_flower","F_plant","total_fruits","closed_fruits","filled_seeds"
8,"BO_029","BO_190","2022-BO-190-G1-008-3",2,1,6,0,0
8,"BO_188","BO_154","2022-BO-154-G1-008-6",6,1,1,0,0
8,"BO_069","BO_201","2022-BO-201-G1-008-2",5,1,2,0,0
8,"BO_096","BO_178","2022-BO-178-G1-008-3",2,1,2,0,0
8,"BO_199","BO_015","2022-BO-015-G1-008-3",3,1,3,2,2
8,"BO_143","BO_004","2022-BO-004-G1-008-2",1,1,6,3,2
8,"BO_005","BO_176","2022-BO-176-G1-008-1",1,1,13,2,0
8,"BO_022","BO_009","2022-BO-009-G1-008-7",1,1,35,4,2
8,"BO_163","BO_144","2022-BO-144-G1-008-5",2,1,2,0,0
8,"BO_088","BO_169","2022-BO-169-G1-008-1",5,1,28,3,8
8,"BO_151","BO_167","2022-BO-167-G1-008-3",2,1,3,1,1
8,"BO_039","BO_102","2022-BO-102-G1-008-3",4,1,7,3,8
10,"BO_074","BO_027","2022-BO-027-G1-010-6",6,1,5,5,16
10,"BO_069","BO_043","2022-BO-043-G1-010-4",5,1,11,4,7
10,"BO_038","BO_149","2022-BO-149-G1-010-5",7,1,2,1,1
10,"BO_199","BO_018","2022-BO-018-G1-010-4",8,1,6,6,6
10,"BO_101","BO_080","2022-BO-080-G1-010-1",3,1,2,2,6
10,"BO_194","BO_098","2022-BO-098-G1-010-1",7,1,1,1,0
10,"BO_088","BO_169","2022-BO-169-G1-010-5",8,1,2,1,0
10,"BO_162","BO_089","2022-BO-089-G1-010-2",6,1,0,0,0
10,"BO_185","BO_085","2022-BO-085-G1-010-2",4,1,1,1,0
10,"BO_170","BO_045","2022-BO-045-G1-010-6",7,1,4,4,4
10,"BO_201","BO_189","2022-BO-189-G1-010-4",4,1,2,2,0
10,"BO_189","BO_126","2022-BO-126-G1-010-2",6,1,1,1,3
10,"BO_143","BO_195","2022-BO-195-G1-010-4",7,1,1,1,0
10,"BO_188","BO_052","2022-BO-052-G1-010-2",8,1,2,2,1
10,"BO_173","BO_054","2022-BO-054-G1-010-1",5,1,2,1,0
10,"BO_109","BO_028","2022-BO-028-G1-010-1",5,1,1,1,0
10,"BO_069","BO_201","2022-BO-201-G1-010-2",6,1,4,2,0
10,"BO_040","BO_171","2022-BO-171-G1-010-3",4,1,2,0,0
10,"BO_173","BO_091","2022-BO-091-G1-010-6",4,1,0,0,0
10,"BO_128","BO_044","2022-BO-044-G1-010-6",2,1,1,1,1
10,"BO_177","BO_121","2022-BO-121-G1-010-8",6,1,0,0,0
10,"BO_065","BO_078","2022-BO-078-G1-010-6",3,1,1,1,0
10,"BO_096","BO_178","2022-BO-178-G1-010-3",2,1,1,1,1
10,"BO_187","BO_031","2022-BO-031-G1-010-5",5,1,1,1,3
10,"BO_070","BO_184","2022-BO-184-G1-010-5",4,1,2,2,4
10,"BO_153","BO_157","2022-BO-157-G1-010-5",3,1,3,3,6
10,"BO_170","BO_055","2022-BO-055-G1-010-4",2,1,10,2,1
10,"BO_189","BO_142","2022-BO-142-G1-010-1",4,1,1,1,2
10,"BO_183","BO_063","2022-BO-063-G1-010-8",3,1,0,0,0
10,"BO_183","BO_198","2022-BO-198-G1-010-8",2,1,2,2,0
10,"BO_088","BO_140","2022-BO-140-G1-010-4",2,1,1,1,0
10,"BO_192","BO_127","2022-BO-127-G1-010-7",4,1,0,0,0
10,"BO_130","BO_161","2022-BO-161-G1-010-6",3,1,0,0,0
10,"BO_162","BO_164","2022-BO-164-G1-010-1",0,0,0,0,0
10,"BO_069","BO_145","2022-BO-145-G1-010-2",4,1,4,1,0
10,"BO_151","BO_056","2022-BO-056-G1-010-7",2,1,0,0,0
10,"BO_058","BO_081","2022-BO-081-G1-010-7",0,0,0,0,0
10,"BO_149","BO_185","2022-BO-185-G1-010-4",0,0,0,0,0
10,"BO_130","BO_120","2022-BO-120-G1-010-6",0,0,0,0,0
10,"BO_039","BO_087","2022-BO-087-G1-010-8",0,0,0,0,0
11,"BO_162","BO_108","2022-BO-108-G1-011-3",6,1,0,0,0
11,"BO_201","BO_130","2022-BO-130-G1-011-5",4,1,5,4,0
11,"BO_128","BO_060","2022-BO-060-G1-011-7",4,1,0,0,0
11,"BO_119","BO_013","2022-BO-013-G1-011-6",3,1,7,4,5
11,"BO_039","BO_200","2022-BO-200-G1-011-6",8,1,13,3,3
11,"BO_143","BO_152","2022-BO-152-G1-011-3",6,1,5,2,6
11,"BO_096","BO_134","2022-BO-134-G1-011-1",4,1,28,2,10
11,"BO_040","BO_067","2022-BO-067-G1-011-7",8,1,1,1,1
11,"BO_065","BO_115","2022-BO-115-G1-011-1",8,1,6,5,18
11,"BO_096","BO_012","2022-BO-012-G1-011-5",6,1,2,2,1
11,"BO_177","BO_147","2022-BO-147-G1-011-4",4,1,0,0,0
11,"BO_199","BO_015","2022-BO-015-G1-011-6",4,1,2,2,7
11,"BO_038","BO_137","2022-BO-137-G1-011-6",4,1,2,1,6
11,"BO_033","BO_099","2022-BO-099-G1-011-4",2,1,4,2,1
11,"BO_005","BO_176","2022-BO-176-G1-011-6",4,1,6,6,10
11,"BO_187","BO_150","2022-BO-150-G1-011-2",6,1,0,0,0
11,"BO_106","BO_104","2022-BO-104-G1-011-4",2,1,5,3,1
11,"BO_149","BO_032","2022-BO-032-G1-011-1",3,1,2,2,2
11,"BO_128","BO_105","2022-BO-105-G1-011-4",1,1,0,0,0
11,"BO_198","BO_100","2022-BO-100-G1-011-5",0,0,0,0,0
11,"BO_074","BO_118","2022-BO-118-G1-011-6",1,1,1,0,0
11,"BO_119","BO_017","2022-BO-017-G1-011-3",0,0,0,0,0
11,"BO_005","BO_122","2022-BO-122-G1-011-2",1,1,0,0,0
11,"BO_185","BO_071","2022-BO-071-G1-011-4",1,1,2,2,5
11,"BO_070","BO_046","2022-BO-046-G1-011-5",4,1,0,0,0
11,"BO_153","BO_022","2022-BO-022-G1-011-5",4,1,1,1,0
